,nodes,density,time_hamilton,count
0,7,0.5,0.0034744739532470703,2
1,8,0.5,0.011559009552001953,4
2,9,0.5,0.07587623596191406,32
3,10,0.5,0.06766366958618164,54
4,11,0.5,0.34070730209350586,364
5,12,0.5,2.4018099308013916,1540
6,13,0.5,13.24073576927185,9306
7,14,0.5,179.94396495819092,48594
8,15,0.5,376.410991191864,62894
